"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Methane (CH4) (t)","WASTE, TOTAL",138670.2,140910.0,141105.3,136579.7,131180.7,130998.8,129876.1,128612.8,126650.8,121433.4,117740.8,115647.5,108186.4,102097.8,101000.9,94834.4,91389.9,83963.3,73203.8,69376.2,64496.1,60353.2,55189.1,52023.0,47674.6,44242.7,40991.5,38318.3,35650.1
"Methane (CH4) (t)","ELECTRICITY AND DISTRICT HEATING, TOTAL",624.2,717.4,572.6,699.4,800.3,824.5,1112.2,918.5,977.3,967.1,923.0,1124.8,1257.3,1373.2,1361.7,1501.8,1636.8,1630.0,1742.6,1948.6,2186.6,1815.3,1864.4,1887.9,1651.1,1662.6,1817.5,1816.3,1876.3
"Methane (CH4) (t)","INDUSTRY, TOTAL",5655.0,6198.9,6296.4,6343.0,6543.0,6048.5,5904.7,5861.8,6001.4,5816.4,5655.6,6107.4,5726.2,5139.7,5633.5,5230.2,5201.8,5172.5,4753.0,4514.7,4378.7,4194.9,4533.0,4121.4,3847.2,3800.4,3756.3,3692.4,3587.0
"Methane (CH4) (t)","DOMESTIC TRANSPORT, TOTAL",6246.8,6532.0,6130.9,5394.3,5580.6,5152.0,4985.1,4500.1,4223.9,3896.9,3488.9,3195.6,2934.7,2705.8,2481.5,2350.9,2185.3,2001.8,1869.9,1716.7,1579.9,1400.3,1078.9,1021.0,955.6,917.1,859.7,800.6,733.8
"Methane (CH4) (t)","INTERNATIONAL TRANSPORT, TOTAL",32.9,31.4,30.7,33.7,38.1,46.2,42.2,46.5,54.1,54.5,51.1,48.1,40.7,50.5,59.1,61.1,66.8,65.6,73.1,73.2,69.1,63.5,60.7,58.8,61.3,53.5,61.4,67.0,77.5
"Methane (CH4) (t)","AGRICULTURE, TOTAL",140886.5,137421.4,143005.8,147128.0,149649.9,146592.4,148054.2,147545.8,145486.4,143636.2,141369.8,140457.2,138524.9,136782.3,138685.0,137727.4,136786.6,134127.8,134523.8,132351.7,132456.1,131365.1,130025.5,130840.6,130831.0,130231.1,130023.2,131242.3,130794.4
"Methane (CH4) (t)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (t)","HEATING OF HOUSES AND PREMISES, TOTAL",4161.2,4313.3,4378.8,4385.3,4306.0,4557.5,4577.4,4275.3,4068.2,3667.9,3623.3,3367.4,3397.9,3537.5,3529.2,3462.7,3324.3,3133.4,3038.4,3060.0,3028.9,3010.0,2825.9,2798.9,2698.8,2570.4,2600.8,2565.4,2206.8
"Methane (CH4) (t)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",18889.0,18875.2,18874.5,18848.5,18872.0,18907.0,18870.3,19240.5,18807.1,19015.5,19034.5,19058.3,19126.6,19079.2,18917.1,18903.6,19101.2,18634.9,18918.6,18211.4,18088.2,17847.8,17426.6,17533.8,18721.8,17700.1,17850.6,17718.3,19785.3
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",5740.3,5618.1,5463.9,5674.2,5706.0,5583.9,5596.1,5600.6,5639.0,5421.4,5332.7,5213.2,5094.2,5059.4,5068.0,4962.6,4906.3,4745.2,4825.6,4654.5,4823.5,4522.1,4483.0,4523.2,4576.6,4597.8,4576.7,4757.3,4503.6
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",5796.5,5675.5,5525.5,5737.4,5778.2,5657.3,5673.7,5690.9,5743.0,5526.7,5436.0,5313.5,5182.5,5169.1,5192.7,5092.2,5043.3,4882.5,4961.9,4792.5,4957.5,4642.3,4598.6,4634.7,4696.1,4725.4,4715.1,4913.4,4672.1
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",7016.1,6879.8,6721.2,6937.4,6971.0,6858.0,6869.2,6875.9,6917.3,6710.9,6631.3,6513.8,6392.9,6363.0,6366.3,6277.0,6211.1,6043.7,6099.4,5895.3,6080.3,5724.5,5637.6,5683.6,5756.4,5807.8,5814.5,5995.1,5755.5
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",7072.3,6937.1,6782.9,7000.6,7043.3,6931.4,6946.8,6966.2,7021.3,6816.2,6734.6,6614.1,6481.2,6472.6,6491.0,6406.6,6348.2,6181.0,6235.7,6033.3,6214.3,5844.7,5753.2,5795.2,5876.0,5935.4,5952.9,6151.2,5923.9
